date_time,city,state_province,country,ufo_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
2014-01-01 18:00:00,philadelphia,pa,us,light,180,2-3 minutes,3 red/orange flame-less lights seen hovering.,2014-01-10,39.9522222,-75.1641667
2014-01-01 18:30:00,woodridge,il,us,fireball,240,4 minutes,New Year&#39s day red scanning fireball.,2014-01-10,41.7469444,-88.0502778
2014-01-01 20:30:00,hickory,nc,us,triangle,60,1 minute,(3) Yellowish/Orange spheres in the shape of a triangle.,2014-01-16,35.7330556,-81.3413889
2014-01-01 21:00:00,great falls,mt,us,sphere,30,30 seconds,Observes 2 orange spheres flying North over Great Falls Montana.,2014-01-10,47.5002778,-111.3
2014-01-10 06:00:00,placentia,ca,us,rectangle,60,~1 minute,EXTRATERRESTRIAL MULTICOLOR SPACECRAFT OVER GOLF COURSE,2014-01-16,33.8722222,-117.8694444
2014-01-10 06:15:00,el paso,tx,us,circle,120,~2 minutes,Single round&#44 reddish yellowish&#44 greenish light in the sky which moved very rapidly and stood still&#44 then moved again then stood still,2014-01-16,31.7586111,-106.4863889
2014-01-10 06:30:00,coal creek,co,us,sphere,1200,20 minutes,Large&#44 yellowish white reflective sphere with no lights&#44 no sound&#44 no exhaust trail.,2014-01-10,38.3611111,-105.1477778
2014-01-10 09:57:00,hartford,ct,us,flash,120,2 minute,((HOAX??)) While i was watching a movie a white flash came from the sky after 1min another flash blinded me  it ended and left,2014-02-14,41.7636111,-72.6855556
2014-01-10 20:00:00,knoxville,tn,us,light,1,1 second,Yellow Orange Light Shot Across Sky.,2014-01-16,35.9605556,-83.9208333
2014-01-10 20:00:00,yuma,az,us,unknown,120,2 minutes,Glowing streak of blue cloud passes quickly over the area in Yuma&#44 AZ.,2014-01-16,32.7252778,-114.6236111
2014-01-10 20:30:00,meredith,nh,us,fireball,300,3-5 minutes,Orange glowing orb slowly moving upward then disappeared.,2014-01-16,43.6575,-71.5008333
2014-01-10 20:50:00,newport beach,ca,us,fireball,600,10 minutes,Hovering Red Orbs over the Newport Beach&#44 CA peninsula.,2014-01-16,33.6188889,-117.9280556
2014-01-10 21:15:00,lowell,mi,us,flash,1,1 second,Around 9:15pm last night&#44 in the sky NW of Lowell we witnessed two large flashes of red light that lit up a large&#44 lower portion of the,2014-01-16,42.9336111,-85.3419444
2014-01-10 22:58:00,kaneohe,hi,us,fireball,90,90 seconds,A silent red ball of light traveled off the pacific ocean from the east to the south below the clouds for about 90 seconds.,2014-01-16,21.4180556,-157.8036111
2014-01-10 23:50:00,napa,ca,us,circle,240,4 minutes,Bright orange circular object seen flying SE to NW for minutes before suddenly disappearing.,2014-01-16,38.2972222,-122.2844444
2014-01-01 18:46:00,san diego,ca,us,unknown,45,45 seconds,Two dark objects less than two miles away&#44 moving east then separating and accelerating north at a miraculous rate of speed.,2014-01-10,32.7152778,-117.1563889
2014-01-01 19:00:00,brenda,az,us,circle,300,5 minutes,Five yellow orange objects flying at same altitude slightly above hills to south east of us.,2014-01-10,33.6797222,-113.9438889
